frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.605605,1781116747.283034,0,86,
1,0.810616,1781116747.488045,228,86,
2,0.869124,1781116747.546553,228,86,
3,0.932424,1781116747.609853,172,79,
4,1.014810,1781116747.692239,172,72,
5,1.097315,1781116747.774744,172,70,
6,1.156671,1781116747.834100,172,70,
7,1.211867,1781116747.889296,172,70,
8,1.272303,1781116747.949732,172,70,auto_front_wall
9,1.349874,1781116748.027303,172,70,
10,1.407953,1781116748.085382,172,70,
11,1.500639,1781116748.178069,172,70,
12,1.566256,1781116748.243685,172,70,
13,1.623133,1781116748.300562,172,70,
14,1.686219,1781116748.363649,172,70,
15,1.745180,1781116748.422610,172,70,
16,1.801665,1781116748.479094,172,70,
17,1.857743,1781116748.535172,172,70,
18,1.916508,1781116748.593938,172,70,
19,1.978800,1781116748.656229,172,70,
20,2.038638,1781116748.716068,172,70,
21,2.098582,1781116748.776011,172,70,
22,2.146465,1781116748.823895,172,70,
23,2.194504,1781116748.871933,172,70,
24,2.249321,1781116748.926750,172,70,
25,2.295762,1781116748.973191,172,70,
26,2.344133,1781116749.021562,172,70,
27,2.392497,1781116749.069926,172,70,
28,2.446613,1781116749.124043,172,70,
29,2.508229,1781116749.185658,172,70,
30,2.558242,1781116749.235672,172,70,
31,2.633350,1781116749.310780,172,70,
32,2.696846,1781116749.374275,172,70,auto_front_wall
33,2.754326,1781116749.431755,172,70,
34,2.808530,1781116749.485959,172,70,
35,2.857394,1781116749.534823,172,70,
36,2.908438,1781116749.585867,172,70,
37,2.965661,1781116749.643090,172,70,
38,3.042384,1781116749.719813,172,70,
39,3.106744,1781116749.784173,172,70,
40,3.159407,1781116749.836836,172,70,
41,3.229761,1781116749.907190,172,70,
42,3.285813,1781116749.963242,172,70,
43,3.341261,1781116750.018690,172,70,
44,3.402914,1781116750.080343,172,70,
45,3.470407,1781116750.147836,172,70,
46,3.556137,1781116750.233566,228,73,auto_curve_too_long
47,3.618704,1781116750.296134,212,76,
48,3.701385,1781116750.378815,212,79,
