frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.620360,1781127606.163039,0,86,
1,0.710195,1781127606.252874,224,86,
2,0.783148,1781127606.325828,196,79,
3,0.851043,1781127606.393722,196,72,
4,0.949871,1781127606.492550,196,65,
5,1.011297,1781127606.553977,196,64,
6,1.107622,1781127606.650301,196,64,auto_front_wall
7,1.204128,1781127606.746808,196,64,
8,1.269804,1781127606.812484,196,64,
9,1.339732,1781127606.882411,196,64,
10,1.412416,1781127606.955095,196,64,
11,1.488136,1781127607.030815,192,68,
12,1.567073,1781127607.109753,192,72,
13,1.668474,1781127607.211154,192,76,
14,1.743163,1781127607.285842,192,80,
15,1.836799,1781127607.379479,192,81,
16,1.920074,1781127607.462753,196,74,
17,1.990460,1781127607.533139,196,67,
18,2.060030,1781127607.602710,196,64,
19,2.171693,1781127607.714372,196,64,
20,2.244556,1781127607.787236,196,64,
21,2.302173,1781127607.844852,196,64,
22,2.359125,1781127607.901805,196,64,
23,2.416667,1781127607.959347,196,64,
24,2.482709,1781127608.025389,196,64,auto_front_wall
25,2.549882,1781127608.092562,196,64,
26,2.636165,1781127608.178844,196,64,
27,2.732547,1781127608.275226,196,64,
28,2.808695,1781127608.351375,196,64,
29,2.878201,1781127608.420880,196,64,
30,2.948058,1781127608.490738,198,68,
31,3.019979,1781127608.562659,214,72,
32,3.097325,1781127608.640005,214,76,
33,3.223806,1781127608.766486,214,80,
34,3.314383,1781127608.857063,198,76,
35,3.385372,1781127608.928052,224,80,
36,3.454833,1781127608.997512,224,84,
37,3.519511,1781127609.062191,198,80,
38,3.594169,1781127609.136848,214,81,
39,3.671182,1781127609.213861,214,83,
40,3.755905,1781127609.298585,214,83,
41,3.836566,1781127609.379245,214,86,
42,3.905060,1781127609.447740,214,86,
43,3.969057,1781127609.511737,214,85,
44,4.035953,1781127609.578632,214,86,
45,4.122534,1781127609.665213,198,82,
46,4.223748,1781127609.766428,204,82,manual_error
