frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.613836,1781029645.294139,0,86,
1,0.879519,1781029645.559821,220,103,
2,0.951551,1781029645.631854,250,86,
3,0.994099,1781029645.674402,250,86,
4,1.027946,1781029645.708248,250,86,
5,1.057973,1781029645.738276,250,86,
6,1.090182,1781029645.770484,250,86,
7,1.119784,1781029645.800087,250,86,
8,1.151935,1781029645.832237,250,86,
9,1.182354,1781029645.862657,250,86,
10,1.211003,1781029645.891306,250,86,
11,1.238846,1781029645.919149,250,86,
12,1.272619,1781029645.952922,250,86,
13,1.330446,1781029646.010749,250,86,
14,1.360720,1781029646.041023,250,86,
15,1.416550,1781029646.096853,250,86,
16,1.455676,1781029646.135979,250,86,
17,1.506348,1781029646.186651,250,86,
18,1.536032,1781029646.216335,250,86,
19,1.563974,1781029646.244277,250,86,
20,1.598596,1781029646.278899,250,86,
21,1.625609,1781029646.305912,250,86,
22,1.655463,1781029646.335766,250,86,
23,1.682448,1781029646.362751,250,86,
24,1.708673,1781029646.388976,250,86,
25,1.742304,1781029646.422607,250,86,
26,1.773261,1781029646.453564,250,86,
27,1.802986,1781029646.483289,250,86,
28,1.832294,1781029646.512597,250,86,
29,1.861170,1781029646.541473,250,86,
30,1.910498,1781029646.590801,250,86,
31,1.944787,1781029646.625090,250,86,
32,1.986045,1781029646.666348,250,86,
33,2.017013,1781029646.697316,250,86,
34,2.046472,1781029646.726774,250,86,
35,2.073430,1781029646.753733,250,86,
36,2.100822,1781029646.781125,250,86,
37,2.128094,1781029646.808397,250,86,
38,2.156597,1781029646.836900,250,86,
39,2.186356,1781029646.866659,250,86,
40,2.213516,1781029646.893819,250,86,
41,2.240636,1781029646.920939,250,86,
42,2.271457,1781029646.951760,250,86,
43,2.298992,1781029646.979295,250,86,
44,2.325585,1781029647.005888,250,86,
45,2.354973,1781029647.035276,250,86,
46,2.404892,1781029647.085195,250,86,
47,2.432306,1781029647.112608,250,86,
48,2.465558,1781029647.145861,250,86,
49,2.491097,1781029647.171400,250,86,
50,2.530405,1781029647.210708,250,86,
51,2.557932,1781029647.238235,250,86,
52,2.585507,1781029647.265810,250,86,
53,2.620535,1781029647.300838,250,86,
54,2.648275,1781029647.328578,250,86,
55,2.682023,1781029647.362326,250,86,
56,2.712723,1781029647.393026,250,86,
57,2.744615,1781029647.424918,250,86,
58,2.777077,1781029647.457380,250,86,
59,2.812668,1781029647.492971,250,86,
60,2.844839,1781029647.525141,250,86,
61,2.876961,1781029647.557264,250,86,
62,2.912706,1781029647.593009,250,86,
63,2.964193,1781029647.644496,250,86,
64,3.016830,1781029647.697133,250,86,
65,3.044832,1781029647.725135,250,86,
66,3.084155,1781029647.764458,250,86,
67,3.112926,1781029647.793228,250,86,
68,3.140544,1781029647.820847,250,86,
69,3.172261,1781029647.852564,250,86,
70,3.200307,1781029647.880610,250,86,
71,3.227768,1781029647.908071,250,86,
72,3.256821,1781029647.937124,250,86,
73,3.290666,1781029647.970968,250,86,
74,3.318727,1781029647.999029,250,86,
75,3.346284,1781029648.026587,250,86,
76,3.377137,1781029648.057440,250,86,
77,3.413163,1781029648.093466,250,86,
78,3.461298,1781029648.141601,250,86,
79,3.490107,1781029648.170410,250,86,
80,3.526875,1781029648.207178,250,86,
81,3.554835,1781029648.235137,250,86,
82,3.589266,1781029648.269568,250,86,
83,3.618887,1781029648.299190,250,86,
84,3.646877,1781029648.327180,250,86,
85,3.680759,1781029648.361062,250,86,
86,3.710736,1781029648.391039,250,86,
87,3.741286,1781029648.421588,250,86,
88,3.778621,1781029648.458924,250,86,
89,3.809671,1781029648.489974,250,86,
90,3.841351,1781029648.521654,250,86,
91,3.877512,1781029648.557815,250,86,
92,3.910655,1781029648.590958,250,86,
93,3.947429,1781029648.627732,250,86,
94,3.996953,1781029648.677255,220,103,
95,4.022221,1781029648.702523,220,103,
96,4.054129,1781029648.734432,220,103,
97,4.079659,1781029648.759962,220,103,
98,4.109245,1781029648.789548,220,103,
99,4.141257,1781029648.821560,220,103,
100,4.173269,1781029648.853572,220,103,
101,4.209279,1781029648.889582,220,103,
102,4.241286,1781029648.921589,220,103,
103,4.275023,1781029648.955326,220,103,
104,4.309828,1781029648.990131,250,86,
105,4.346938,1781029649.027241,250,86,
106,4.394272,1781029649.074575,250,86,
107,4.430531,1781029649.110834,250,86,
108,4.462782,1781029649.143085,250,86,
109,4.493503,1781029649.173806,250,86,
110,4.538347,1781029649.218650,250,86,
111,4.565915,1781029649.246217,250,86,
112,4.599795,1781029649.280098,250,86,
113,4.631213,1781029649.311516,250,86,
114,4.662194,1781029649.342497,250,86,
115,4.704250,1781029649.384553,250,60,
116,4.747257,1781029649.427560,250,60,
117,4.782719,1781029649.463022,220,103,
118,4.808907,1781029649.489210,220,103,
119,4.836255,1781029649.516558,220,103,
120,4.862815,1781029649.543118,220,103,
121,4.911118,1781029649.591421,220,103,
122,4.941277,1781029649.621580,220,103,
123,4.977098,1781029649.657401,220,103,
124,5.000517,1781029649.680820,220,103,
125,5.039736,1781029649.720039,220,103,
126,5.066027,1781029649.746330,220,103,
127,5.091086,1781029649.771389,220,103,
128,5.118963,1781029649.799266,220,103,
129,5.145874,1781029649.826177,220,103,
130,5.173766,1781029649.854069,220,103,
131,5.205671,1781029649.885973,220,103,
132,5.237689,1781029649.917992,220,103,
133,5.273743,1781029649.954046,220,103,
134,5.307440,1781029649.987743,220,103,
135,5.348511,1781029650.028814,220,103,
136,5.384409,1781029650.064712,220,103,
137,5.430421,1781029650.110724,220,103,
138,5.460340,1781029650.140642,220,103,
139,5.501415,1781029650.181718,220,103,
140,5.528564,1781029650.208867,220,103,
141,5.558127,1781029650.238430,220,103,
142,5.584274,1781029650.264577,220,103,
143,5.614497,1781029650.294800,220,103,
144,5.641043,1781029650.321346,220,103,
145,5.669860,1781029650.350163,220,103,
146,5.705926,1781029650.386229,220,103,
147,5.737906,1781029650.418209,220,103,
148,5.769990,1781029650.450293,220,103,
149,5.802021,1781029650.482324,220,103,
150,5.838008,1781029650.518311,220,103,
151,5.870020,1781029650.550323,220,103,
152,5.902777,1781029650.583080,220,103,
153,5.951604,1781029650.631907,220,103,
154,5.983848,1781029650.664151,220,103,
155,6.012960,1781029650.693263,220,103,
156,6.038632,1781029650.718935,220,103,
