epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,235.296,1.21741,2.92911,0.00563,0.679,0.4369,0.54925,0.33208,1.18606,2.57256,0.00532,0.000551326,0.000551326,0.000551326
2,409.664,1.16495,1.54992,0.00519,0.6198,0.65272,0.65029,0.41951,1.15364,1.78673,0.00528,0.0010522,0.0010522,0.0010522
3,518.285,1.19986,1.26414,0.00562,0.65459,0.62826,0.68961,0.45627,1.15518,1.50464,0.00577,0.00149806,0.00149806,0.00149806
4,638.893,1.19607,1.06107,0.00572,0.71846,0.72023,0.7537,0.49162,1.17156,1.26397,0.00554,0.00141945,0.00141945,0.00141945
5,736.791,1.15678,0.95023,0.00532,0.68935,0.65231,0.72107,0.47747,1.17933,1.30816,0.00569,0.00133693,0.00133693,0.00133693
6,818.172,1.13865,0.81946,0.00533,0.69738,0.66934,0.74556,0.49195,1.15001,1.07013,0.00539,0.00125442,0.00125442,0.00125442
7,883.614,1.11754,0.76121,0.00506,0.71509,0.64049,0.73216,0.49699,1.14817,1.00377,0.00528,0.0011719,0.0011719,0.0011719
8,952.161,1.06482,0.67628,0.00475,0.71561,0.74299,0.79769,0.54595,1.0754,0.90135,0.00496,0.00108938,0.00108938,0.00108938
9,1000.89,1.09549,0.66923,0.00477,0.76762,0.65629,0.75907,0.52053,1.10014,0.99553,0.00513,0.00100687,0.00100687,0.00100687
10,1047.76,1.03395,0.60546,0.0046,0.73992,0.7589,0.81582,0.58065,1.02358,0.87098,0.00463,0.000924352,0.000924352,0.000924352
11,1098.08,0.90743,0.50178,0.00479,0.75888,0.68213,0.7732,0.52688,1.0883,0.94704,0.00513,0.000841835,0.000841835,0.000841835
12,1199.09,0.92922,0.48002,0.00505,0.76008,0.6883,0.77408,0.52973,1.09576,0.94758,0.00512,0.000759318,0.000759318,0.000759318
13,1373.87,0.90418,0.44129,0.00478,0.7962,0.74259,0.82391,0.56938,1.08344,0.81268,0.00506,0.000676802,0.000676802,0.000676802
14,1442.17,0.89341,0.43288,0.0048,0.81096,0.74479,0.82938,0.57969,1.05674,0.7549,0.00475,0.000594286,0.000594286,0.000594286
15,1567.42,0.88554,0.42382,0.00474,0.76116,0.75726,0.8127,0.5663,1.08367,0.82304,0.00515,0.000511769,0.000511769,0.000511769
