epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1559.85,1.42395,2.62238,0.0061,0.77443,0.74015,0.83823,0.57878,1.03279,1.53636,0.00483,0.000553496,0.000553496,0.000553496
2,1780.81,1.33727,1.28092,0.00565,0.76809,0.83156,0.88633,0.60379,1.0434,1.1536,0.00474,0.00106524,0.00106524,0.00106524
3,1975.8,1.30721,1.02333,0.00548,0.85044,0.8608,0.92788,0.64903,1.03598,0.8665,0.00486,0.00153297,0.00153297,0.00153297
4,2239.97,1.29597,0.8675,0.00554,0.86008,0.8913,0.9484,0.68485,0.98845,0.69027,0.00479,0.00146896,0.00146896,0.00146896
5,2428.98,1.2581,0.72861,0.00544,0.88296,0.90301,0.95659,0.67909,1.0271,0.59217,0.00511,0.00140295,0.00140295,0.00140295
6,2650.89,1.2746,0.66501,0.00539,0.92347,0.87235,0.95825,0.68406,0.99709,0.54395,0.00473,0.00133693,0.00133693,0.00133693
7,2826.05,1.23578,0.61975,0.00514,0.91251,0.94297,0.97367,0.71179,0.97045,0.47353,0.00446,0.00127092,0.00127092,0.00127092
8,3003.87,1.2252,0.58954,0.00503,0.94216,0.90278,0.97431,0.7087,0.98618,0.43456,0.00476,0.00120491,0.00120491,0.00120491
9,3165.53,1.19794,0.5694,0.00493,0.93242,0.94083,0.97958,0.7024,1.00725,0.4112,0.00468,0.00113889,0.00113889,0.00113889
10,3346.32,1.19287,0.54031,0.00508,0.95343,0.92774,0.97984,0.70275,1.0047,0.40078,0.0046,0.00107288,0.00107288,0.00107288
11,3515.72,1.18122,0.5146,0.00494,0.91496,0.94187,0.9783,0.70883,1.00032,0.40057,0.00482,0.00100687,0.00100687,0.00100687
12,3723.65,1.19125,0.52673,0.00488,0.95193,0.92243,0.97832,0.71987,0.96799,0.39423,0.00466,0.000940855,0.000940855,0.000940855
13,3855.2,1.14715,0.49421,0.00478,0.94477,0.92776,0.98066,0.72639,0.93214,0.37499,0.00424,0.000874842,0.000874842,0.000874842
14,4046,1.14569,0.48716,0.00477,0.93615,0.94474,0.97691,0.73493,0.90636,0.36939,0.00423,0.000808828,0.000808828,0.000808828
15,4528.35,1.12835,0.47432,0.00471,0.93228,0.95619,0.98377,0.73222,0.92017,0.35265,0.00424,0.000742815,0.000742815,0.000742815
16,4820.33,1.01795,0.39919,0.00503,0.93727,0.94959,0.98087,0.74221,0.90537,0.3581,0.00415,0.000676802,0.000676802,0.000676802
17,5336.59,1.00897,0.37894,0.00503,0.95586,0.94998,0.98394,0.7418,0.88992,0.34354,0.00412,0.000610789,0.000610789,0.000610789
18,5517.64,1.00039,0.36932,0.0049,0.95898,0.91335,0.98087,0.7416,0.88488,0.34193,0.004,0.000544776,0.000544776,0.000544776
19,5696.93,0.97824,0.36517,0.00474,0.94336,0.95222,0.98074,0.75291,0.86794,0.34171,0.00396,0.000478762,0.000478762,0.000478762
20,5963.61,0.96569,0.35329,0.00471,0.92899,0.97541,0.98391,0.75814,0.86148,0.3192,0.00387,0.000412749,0.000412749,0.000412749
21,6187.87,0.94802,0.34277,0.00466,0.95027,0.957,0.98498,0.75761,0.86952,0.31482,0.00394,0.000346736,0.000346736,0.000346736
22,6363.39,0.94608,0.34647,0.00461,0.96395,0.94677,0.98531,0.75069,0.8639,0.32162,0.00389,0.000280723,0.000280723,0.000280723
23,6557.31,0.93751,0.34217,0.00451,0.96547,0.95536,0.98635,0.75504,0.87214,0.30774,0.00391,0.00021471,0.00021471,0.00021471
24,6807.71,0.93554,0.33803,0.00453,0.95427,0.96354,0.98563,0.75766,0.85299,0.30947,0.00381,0.000148696,0.000148696,0.000148696
25,7076.46,0.92712,0.33419,0.00447,0.9564,0.96037,0.98618,0.75861,0.84755,0.30491,0.00381,8.26832e-05,8.26832e-05,8.26832e-05
